,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
11687,SRRM2.1,3.16E-27,-0.257330809,0.356,0.394,1.95E-22,C-PEP.TAC1/CACNG5,SRRM2
11688,DOCK9.3,3.84E-27,-0.275862328,0.331,0.368,2.37E-22,C-PEP.TAC1/CACNG5,DOCK9
11689,SHISA4.3,4.53E-27,-0.266891179,0.368,0.398,2.80E-22,C-PEP.TAC1/CACNG5,SHISA4
11690,DGKI.5,5.65E-27,-0.494099171,0.567,0.578,3.49E-22,C-PEP.TAC1/CACNG5,DGKI
11691,EGFL8.2,5.93E-27,-0.261716011,0.124,0.169,3.67E-22,C-PEP.TAC1/CACNG5,EGFL8
11692,FOS.3,5.98E-27,-0.462010545,0.313,0.36,3.69E-22,C-PEP.TAC1/CACNG5,FOS
11693,KSR2.1,9.31E-27,-0.263635757,0.364,0.4,5.75E-22,C-PEP.TAC1/CACNG5,KSR2
11694,IGFBP5.1,1.17E-26,-0.294507995,0.174,0.222,7.25E-22,C-PEP.TAC1/CACNG5,IGFBP5
11695,SRGAP3.3,1.76E-26,-0.259676667,0.521,0.539,1.09E-21,C-PEP.TAC1/CACNG5,SRGAP3
11696,MACF1.2,6.01E-26,-0.29665902,0.698,0.695,3.71E-21,C-PEP.TAC1/CACNG5,MACF1
11697,RALGPS1.3,9.82E-26,-0.41759891,0.376,0.405,6.07E-21,C-PEP.TAC1/CACNG5,RALGPS1
11698,OLFM1.5,1.36E-25,-0.395785853,0.919,0.9,8.43E-21,C-PEP.TAC1/CACNG5,OLFM1
11699,TAX1BP3.3,2.36E-25,-0.257301275,0.364,0.393,1.46E-20,C-PEP.TAC1/CACNG5,TAX1BP3
11700,PNRC1.2,6.14E-25,-0.252587038,0.451,0.482,3.80E-20,C-PEP.TAC1/CACNG5,PNRC1
11701,LAMA5.3,9.00E-25,-0.352584709,0.305,0.337,5.56E-20,C-PEP.TAC1/CACNG5,LAMA5
11702,CKMT1A.3,1.37E-24,-0.260166688,0.633,0.643,8.46E-20,C-PEP.TAC1/CACNG5,CKMT1A
11703,TTC28.3,2.96E-24,-0.271305654,0.143,0.188,1.83E-19,C-PEP.TAC1/CACNG5,TTC28
11704,PTGER3.5,4.59E-24,0.285417886,0.372,0.315,2.84E-19,C-PEP.TAC1/CACNG5,PTGER3
11705,NLK.3,6.64E-24,-0.289546105,0.4,0.428,4.11E-19,C-PEP.TAC1/CACNG5,NLK
11706,ITM2C.3,6.84E-24,-0.335481408,0.341,0.374,4.23E-19,C-PEP.TAC1/CACNG5,ITM2C
11707,WFDC1.4,8.00E-24,-0.345819807,0.181,0.23,4.94E-19,C-PEP.TAC1/CACNG5,WFDC1
11708,PNMA3.1,1.06E-23,-0.294776449,0.419,0.449,6.58E-19,C-PEP.TAC1/CACNG5,PNMA3
11709,EME2.3,1.21E-23,-0.314599016,0.241,0.278,7.48E-19,C-PEP.TAC1/CACNG5,EME2
11710,FRMD3.4,1.40E-23,-0.270608946,0.581,0.598,8.64E-19,C-PEP.TAC1/CACNG5,FRMD3
11711,IL31RA.5,1.75E-23,-1.332621721,0.564,0.505,1.08E-18,C-PEP.TAC1/CACNG5,IL31RA
11712,ADGRV1.2,1.92E-23,-0.283645759,0.177,0.22,1.19E-18,C-PEP.TAC1/CACNG5,ADGRV1
11713,SERPINA5.2,2.19E-23,-0.333367632,0.146,0.188,1.36E-18,C-PEP.TAC1/CACNG5,SERPINA5
11714,PODN.2,2.95E-23,-0.255856464,0.144,0.188,1.82E-18,C-PEP.TAC1/CACNG5,PODN
11715,BNC2.5,6.88E-23,-0.397177465,0.25,0.286,4.26E-18,C-PEP.TAC1/CACNG5,BNC2
11716,ARHGAP18.5,7.78E-23,-0.342766518,0.361,0.383,4.81E-18,C-PEP.TAC1/CACNG5,ARHGAP18
11717,CNKSR2.4,9.67E-23,-0.332327527,0.408,0.43,5.97E-18,C-PEP.TAC1/CACNG5,CNKSR2
11718,DCLK2.2,3.89E-22,-0.259732394,0.391,0.42,2.41E-17,C-PEP.TAC1/CACNG5,DCLK2
11719,ASIC3.5,4.64E-22,-0.419930789,0.489,0.386,2.87E-17,C-PEP.TAC1/CACNG5,ASIC3
11720,SEPTIN11.3,8.63E-22,-0.250910012,0.406,0.43,5.33E-17,C-PEP.TAC1/CACNG5,SEPTIN11
11721,HAGHL.2,9.03E-22,-0.362708712,0.476,0.499,5.58E-17,C-PEP.TAC1/CACNG5,HAGHL
11722,B4GALNT4.4,9.10E-22,-0.314172932,0.316,0.343,5.63E-17,C-PEP.TAC1/CACNG5,B4GALNT4
11723,UQCRH.6,1.08E-21,-0.257853357,0.31,0.353,6.67E-17,C-PEP.TAC1/CACNG5,UQCRH
11724,ANKS1B.2,1.11E-21,-0.269731436,0.311,0.349,6.83E-17,C-PEP.TAC1/CACNG5,ANKS1B
11725,MFN1.4,1.36E-21,-0.28258626,0.339,0.371,8.42E-17,C-PEP.TAC1/CACNG5,MFN1
11726,MT-ND1.4,1.77E-21,-0.360729909,0.726,0.745,1.10E-16,C-PEP.TAC1/CACNG5,MT-ND1
11727,LDHB.4,1.96E-21,-0.34777745,0.771,0.759,1.21E-16,C-PEP.TAC1/CACNG5,LDHB
11728,AATK,2.35E-21,-0.316527357,0.398,0.424,1.45E-16,C-PEP.TAC1/CACNG5,AATK
11729,TNXB,5.90E-21,-0.255469896,0.132,0.173,3.65E-16,C-PEP.TAC1/CACNG5,TNXB
11730,IL1RAPL1.3,7.14E-21,-0.315081596,0.067,0.105,4.41E-16,C-PEP.TAC1/CACNG5,IL1RAPL1
11731,LRRC4C.4,7.31E-21,-0.36332348,0.074,0.113,4.52E-16,C-PEP.TAC1/CACNG5,LRRC4C
11732,DEPRECATED-ENSG00000100285.4,8.02E-21,-1.169253652,0.719,0.662,4.96E-16,C-PEP.TAC1/CACNG5,DEPRECATED-ENSG00000100285
11733,CD163.3,8.22E-21,-0.268163861,0.146,0.187,5.08E-16,C-PEP.TAC1/CACNG5,CD163
11734,FGFBP3.2,1.25E-20,-0.297796757,0.169,0.207,7.72E-16,C-PEP.TAC1/CACNG5,FGFBP3
11735,RIMKLA.5,1.61E-20,-0.255702763,0.617,0.625,9.96E-16,C-PEP.TAC1/CACNG5,RIMKLA
11736,GPX4.3,1.88E-20,-0.255090671,0.626,0.634,1.16E-15,C-PEP.TAC1/CACNG5,GPX4
11737,S100A4.3,2.32E-20,-0.306122916,0.353,0.377,1.44E-15,C-PEP.TAC1/CACNG5,S100A4
11738,SPIRE2.3,2.82E-20,-0.261800101,0.536,0.552,1.74E-15,C-PEP.TAC1/CACNG5,SPIRE2
11739,LIFR.5,2.98E-20,-0.251144788,0.74,0.728,1.85E-15,C-PEP.TAC1/CACNG5,LIFR
11740,C4orf50,3.72E-20,-0.273108404,0.34,0.366,2.30E-15,C-PEP.TAC1/CACNG5,C4orf50
11741,FABP5.2,8.63E-20,-0.268603867,0.593,0.608,5.33E-15,C-PEP.TAC1/CACNG5,FABP5
11742,AUTS2.4,1.31E-19,-0.380415838,0.334,0.365,8.11E-15,C-PEP.TAC1/CACNG5,AUTS2
11743,PNISR.3,1.60E-19,-0.31122065,0.323,0.35,9.88E-15,C-PEP.TAC1/CACNG5,PNISR
11744,ZEB1.4,2.98E-19,-0.335240934,0.392,0.418,1.84E-14,C-PEP.TAC1/CACNG5,ZEB1
11745,COL1A1.2,3.77E-19,-0.314107957,0.174,0.212,2.33E-14,C-PEP.TAC1/CACNG5,COL1A1
11746,TMEFF1.5,4.99E-19,-0.289270174,0.486,0.488,3.09E-14,C-PEP.TAC1/CACNG5,TMEFF1
11747,NRXN3.2,7.46E-19,-0.259224195,0.543,0.569,4.61E-14,C-PEP.TAC1/CACNG5,NRXN3
11748,MYO6.4,1.00E-18,-0.450245955,0.42,0.433,6.21E-14,C-PEP.TAC1/CACNG5,MYO6
11749,FBLN5.3,1.51E-18,-0.441783159,0.31,0.331,9.34E-14,C-PEP.TAC1/CACNG5,FBLN5
11750,PDIA2.6,1.87E-18,-0.451575092,0.309,0.229,1.15E-13,C-PEP.TAC1/CACNG5,PDIA2
11751,ATRNL1.4,1.95E-18,-0.432853359,0.856,0.863,1.21E-13,C-PEP.TAC1/CACNG5,ATRNL1
11752,DMTF1.3,2.09E-18,-0.364782697,0.361,0.381,1.29E-13,C-PEP.TAC1/CACNG5,DMTF1
11753,ISL2.6,3.25E-18,-0.285974171,0.467,0.48,2.01E-13,C-PEP.TAC1/CACNG5,ISL2
11754,CCNL2.4,4.30E-18,-0.497704261,0.395,0.415,2.66E-13,C-PEP.TAC1/CACNG5,CCNL2
11755,ATP8A1.5,7.32E-18,-0.262612043,0.756,0.73,4.52E-13,C-PEP.TAC1/CACNG5,ATP8A1
11756,CEMIP.5,8.38E-18,-0.251135477,0.429,0.442,5.18E-13,C-PEP.TAC1/CACNG5,CEMIP
11757,LMNA.5,9.71E-18,-0.263748047,0.556,0.574,6.00E-13,C-PEP.TAC1/CACNG5,LMNA
11758,DEPRECATED-ENSG00000135976.3,9.92E-18,-0.250617996,0.231,0.169,6.13E-13,C-PEP.TAC1/CACNG5,DEPRECATED-ENSG00000135976
11759,IKBKB.4,1.66E-17,-0.388644458,0.235,0.261,1.02E-12,C-PEP.TAC1/CACNG5,IKBKB
11760,KCNH2.5,2.51E-17,-0.264821179,0.476,0.482,1.55E-12,C-PEP.TAC1/CACNG5,KCNH2
11761,ANKRD36B.4,2.86E-17,-0.304368063,0.339,0.26,1.77E-12,C-PEP.TAC1/CACNG5,ANKRD36B
11762,BACH2.5,3.15E-17,-0.444463963,0.282,0.314,1.95E-12,C-PEP.TAC1/CACNG5,BACH2
11763,AK5.6,4.18E-17,-0.312372242,0.497,0.491,2.59E-12,C-PEP.TAC1/CACNG5,AK5
11764,TRIM67.6,5.05E-17,-0.292924611,0.499,0.501,3.12E-12,C-PEP.TAC1/CACNG5,TRIM67
11765,FNDC3A.3,1.47E-16,-0.276369035,0.269,0.296,9.07E-12,C-PEP.TAC1/CACNG5,FNDC3A
11766,GPHN.3,1.48E-16,-0.41069082,0.302,0.326,9.17E-12,C-PEP.TAC1/CACNG5,GPHN
11767,MDGA2.3,1.74E-16,-0.421818261,0.363,0.388,1.08E-11,C-PEP.TAC1/CACNG5,MDGA2
11768,SCRG1.1,1.84E-16,0.459207933,0.127,0.097,1.14E-11,C-PEP.TAC1/CACNG5,SCRG1
11769,MICOS10.1,2.46E-16,-0.280593432,0.442,0.464,1.52E-11,C-PEP.TAC1/CACNG5,MICOS10
11770,DEPRECATED-ENSG00000099797.5,2.72E-16,-0.378163069,0.325,0.332,1.68E-11,C-PEP.TAC1/CACNG5,DEPRECATED-ENSG00000099797
11771,CCDC85B.6,3.83E-16,-0.274774551,0.695,0.672,2.37E-11,C-PEP.TAC1/CACNG5,CCDC85B
11772,RASSF6.4,5.74E-16,-0.271866752,0.197,0.224,3.55E-11,C-PEP.TAC1/CACNG5,RASSF6
11773,COLGALT2.5,6.41E-16,-0.273222239,0.349,0.362,3.96E-11,C-PEP.TAC1/CACNG5,COLGALT2
11774,AGRN.5,9.57E-16,-1.047484623,0.37,0.387,5.91E-11,C-PEP.TAC1/CACNG5,AGRN
11775,REV3L.4,1.14E-15,-0.272281816,0.316,0.34,7.05E-11,C-PEP.TAC1/CACNG5,REV3L
11776,MCF2L.4,1.33E-15,-0.429102627,0.514,0.529,8.25E-11,C-PEP.TAC1/CACNG5,MCF2L
11777,WDFY2.3,1.65E-15,-0.262334578,0.257,0.282,1.02E-10,C-PEP.TAC1/CACNG5,WDFY2
11778,FGF12.5,2.60E-15,-0.497752888,0.666,0.666,1.61E-10,C-PEP.TAC1/CACNG5,FGF12
11779,RYR3.5,2.75E-15,-0.323470412,0.272,0.209,1.70E-10,C-PEP.TAC1/CACNG5,RYR3
11780,ASIC1.4,2.96E-15,-0.285439326,0.456,0.466,1.83E-10,C-PEP.TAC1/CACNG5,ASIC1
11781,MATCAP1.3,3.03E-15,-0.289215634,0.231,0.257,1.87E-10,C-PEP.TAC1/CACNG5,MATCAP1
11782,HS3ST5.4,3.09E-15,-0.330938812,0.382,0.402,1.91E-10,C-PEP.TAC1/CACNG5,HS3ST5
11783,C1orf21.4,3.96E-15,-0.283957439,0.585,0.599,2.45E-10,C-PEP.TAC1/CACNG5,C1orf21
11784,RHOT2.2,5.09E-15,-0.275269657,0.372,0.388,3.14E-10,C-PEP.TAC1/CACNG5,RHOT2
11785,MT-ATP6.4,1.18E-14,-0.64938617,0.931,0.899,7.27E-10,C-PEP.TAC1/CACNG5,MT-ATP6
11786,HERC4.3,2.29E-14,-0.30212272,0.346,0.364,1.42E-09,C-PEP.TAC1/CACNG5,HERC4
11787,TENM4.6,2.30E-14,-0.332437696,0.475,0.487,1.42E-09,C-PEP.TAC1/CACNG5,TENM4
11788,NBL1.5,2.50E-14,-0.323113193,0.735,0.712,1.55E-09,C-PEP.TAC1/CACNG5,NBL1
11789,FUBP3.6,3.02E-14,-0.294419509,0.401,0.406,1.87E-09,C-PEP.TAC1/CACNG5,FUBP3
11790,VSTM2A.3,3.04E-14,-0.252275007,0.474,0.475,1.88E-09,C-PEP.TAC1/CACNG5,VSTM2A
11791,PDE4D.4,5.29E-14,-0.280452987,0.559,0.574,3.27E-09,C-PEP.TAC1/CACNG5,PDE4D
11792,MYO18A.3,8.88E-14,-0.376874215,0.566,0.578,5.49E-09,C-PEP.TAC1/CACNG5,MYO18A
11793,UBR5.3,1.49E-13,-0.285913188,0.416,0.429,9.24E-09,C-PEP.TAC1/CACNG5,UBR5
11794,MT-CYB.4,1.50E-13,-0.262703034,0.886,0.876,9.24E-09,C-PEP.TAC1/CACNG5,MT-CYB
11795,DPYD.4,1.54E-13,-0.251424658,0.201,0.233,9.51E-09,C-PEP.TAC1/CACNG5,DPYD
11796,PKIA.4,1.81E-13,-0.250895899,0.573,0.567,1.12E-08,C-PEP.TAC1/CACNG5,PKIA
11797,RNPC3.4,2.10E-13,-0.410548991,0.253,0.27,1.30E-08,C-PEP.TAC1/CACNG5,RNPC3
11798,RBFOX1.5,9.63E-13,-0.590219459,0.693,0.631,5.95E-08,C-PEP.TAC1/CACNG5,RBFOX1
11799,FMN1.4,2.16E-12,-0.572854918,0.605,0.603,1.33E-07,C-PEP.TAC1/CACNG5,FMN1
11800,RBM6.4,3.17E-12,-0.295511812,0.351,0.366,1.96E-07,C-PEP.TAC1/CACNG5,RBM6
11801,SERPINA3.3,9.17E-12,-0.28173681,0.172,0.196,5.67E-07,C-PEP.TAC1/CACNG5,SERPINA3
11802,RGS4.6,9.37E-12,-0.940268152,0.742,0.643,5.79E-07,C-PEP.TAC1/CACNG5,RGS4
11803,RIMS1.3,1.37E-11,-0.33222845,0.407,0.421,8.45E-07,C-PEP.TAC1/CACNG5,RIMS1
11804,ANKRD10.4,1.60E-11,-0.312910017,0.31,0.322,9.92E-07,C-PEP.TAC1/CACNG5,ANKRD10
11805,COX7B.5,6.31E-11,-0.28114353,0.364,0.378,3.90E-06,C-PEP.TAC1/CACNG5,COX7B
11806,EIF1B.5,7.11E-11,-0.277378398,0.715,0.719,4.39E-06,C-PEP.TAC1/CACNG5,EIF1B
11807,TNRC6A.3,8.42E-11,-0.315175695,0.449,0.453,5.21E-06,C-PEP.TAC1/CACNG5,TNRC6A
11808,RBM19.4,1.24E-10,-0.258075584,0.351,0.364,7.64E-06,C-PEP.TAC1/CACNG5,RBM19
11809,NEAT1.6,1.36E-10,-0.49624591,0.129,0.162,8.40E-06,C-PEP.TAC1/CACNG5,NEAT1
11810,RBM33.4,1.53E-10,-0.291065718,0.381,0.389,9.43E-06,C-PEP.TAC1/CACNG5,RBM33
11811,UQCRFS1.2,2.49E-10,-0.257373605,0.372,0.382,1.54E-05,C-PEP.TAC1/CACNG5,UQCRFS1
11812,CHD2.3,5.89E-10,-0.310354288,0.325,0.335,3.64E-05,C-PEP.TAC1/CACNG5,CHD2
11813,TMEM117.4,1.04E-09,-0.350040719,0.326,0.337,6.41E-05,C-PEP.TAC1/CACNG5,TMEM117
11814,SNHG14.5,1.05E-09,-0.250669563,0.113,0.143,6.47E-05,C-PEP.TAC1/CACNG5,SNHG14
11815,MEG8.5,1.63E-09,-0.505003515,0.118,0.146,0.000101049,C-PEP.TAC1/CACNG5,MEG8
11816,MDM4.2,2.37E-09,-0.252614177,0.295,0.306,0.000146625,C-PEP.TAC1/CACNG5,MDM4
11817,WFS1.5,2.69E-09,-0.292849114,0.641,0.618,0.000166218,C-PEP.TAC1/CACNG5,WFS1
11818,ARHGEF1.2,3.35E-09,-0.250529903,0.246,0.259,0.000207137,C-PEP.TAC1/CACNG5,ARHGEF1
11819,GRIK2.4,4.79E-09,-0.362365358,0.349,0.358,0.000296412,C-PEP.TAC1/CACNG5,GRIK2
11820,MAGI2.4,4.81E-09,-0.531719457,0.273,0.294,0.000297106,C-PEP.TAC1/CACNG5,MAGI2
11821,DTNA.4,6.21E-09,-0.261830317,0.458,0.463,0.000384158,C-PEP.TAC1/CACNG5,DTNA
11822,EML6.5,7.83E-09,-0.403919841,0.325,0.33,0.000483981,C-PEP.TAC1/CACNG5,EML6
11823,BICDL1.2,1.35E-08,-0.26920319,0.491,0.488,0.00083536,C-PEP.TAC1/CACNG5,BICDL1
11824,SAMHD1.1,1.99E-08,-0.251142821,0.518,0.525,0.001228851,C-PEP.TAC1/CACNG5,SAMHD1
11825,PDE4B.4,2.61E-08,-0.340222625,0.394,0.403,0.001612826,C-PEP.TAC1/CACNG5,PDE4B
11826,CCDC159.2,2.75E-08,-0.255592286,0.265,0.278,0.001698629,C-PEP.TAC1/CACNG5,CCDC159
11827,DOCK5.3,3.49E-08,-0.265313548,0.435,0.443,0.002159758,C-PEP.TAC1/CACNG5,DOCK5
11828,TIAM1.3,3.50E-08,-0.251569528,0.266,0.275,0.002162007,C-PEP.TAC1/CACNG5,TIAM1
11829,NKTR.3,3.90E-08,-0.279236216,0.295,0.3,0.002413365,C-PEP.TAC1/CACNG5,NKTR
11830,COX5A.6,4.05E-08,-0.296373668,0.127,0.15,0.002505857,C-PEP.TAC1/CACNG5,COX5A
11831,ATP11A.4,4.37E-08,-0.341885547,0.622,0.608,0.002698527,C-PEP.TAC1/CACNG5,ATP11A
11832,FAM155A.4,6.25E-08,-0.293903688,0.172,0.141,0.003864018,C-PEP.TAC1/CACNG5,FAM155A
11833,TTC14.4,1.09E-07,-0.344911191,0.295,0.299,0.006758852,C-PEP.TAC1/CACNG5,TTC14
11834,CLK1.3,1.15E-07,-0.290034843,0.256,0.264,0.007110248,C-PEP.TAC1/CACNG5,CLK1
11835,DMD.3,1.33E-07,-0.461128929,0.293,0.309,0.008226143,C-PEP.TAC1/CACNG5,DMD
11836,PLCB3.5,1.39E-07,-0.792790328,0.591,0.535,0.008570731,C-PEP.TAC1/CACNG5,PLCB3
11837,EEF1A1.1,2.30E-07,0.31409832,0.176,0.156,0.014193544,C-PEP.TAC1/CACNG5,EEF1A1
11838,COL4A1.3,3.44E-07,-0.283606922,0.302,0.308,0.021285161,C-PEP.TAC1/CACNG5,COL4A1
11839,EHBP1.5,5.01E-07,-0.269087988,0.781,0.778,0.030982926,C-PEP.TAC1/CACNG5,EHBP1
11840,SCN11A.5,5.23E-07,-0.646607354,0.865,0.701,0.032349419,C-PEP.TAC1/CACNG5,SCN11A
11841,ZNF804B.5,8.22E-07,-0.340207499,0.081,0.1,0.050831116,C-PEP.TAC1/CACNG5,ZNF804B
11842,ST8SIA1.4,9.25E-07,-0.26198799,0.456,0.443,0.057209192,C-PEP.TAC1/CACNG5,ST8SIA1
11843,JMJD1C.3,9.54E-07,-0.300624096,0.365,0.372,0.058969116,C-PEP.TAC1/CACNG5,JMJD1C
11844,TARBP1.3,1.13E-06,-0.261354897,0.196,0.204,0.069545783,C-PEP.TAC1/CACNG5,TARBP1
11845,MIR99AHG.3,1.38E-06,-0.305399182,0.101,0.123,0.085306456,C-PEP.TAC1/CACNG5,MIR99AHG
11846,LUC7L3.4,1.57E-06,-0.402791847,0.438,0.434,0.096807463,C-PEP.TAC1/CACNG5,LUC7L3
11847,SMYD3.5,2.24E-06,-0.342500718,0.47,0.472,0.138578702,C-PEP.TAC1/CACNG5,SMYD3
11848,MAPK12.4,3.07E-06,-0.319916081,0.471,0.465,0.18976899,C-PEP.TAC1/CACNG5,MAPK12
11849,CSAD.3,3.72E-06,-0.307592934,0.265,0.266,0.230174989,C-PEP.TAC1/CACNG5,CSAD
11850,COL4A2.3,7.88E-06,-0.275773186,0.353,0.353,0.486999386,C-PEP.TAC1/CACNG5,COL4A2
11851,RET.5,8.90E-06,-0.430884272,0.874,0.827,0.550101161,C-PEP.TAC1/CACNG5,RET
11852,DLG2.5,1.44E-05,-0.424046637,0.482,0.474,0.892202368,C-PEP.TAC1/CACNG5,DLG2
11853,AHI1.3,2.72E-05,-0.278980742,0.384,0.379,1,C-PEP.TAC1/CACNG5,AHI1
11854,ITPRID2.5,3.03E-05,-0.418390001,0.277,0.278,1,C-PEP.TAC1/CACNG5,ITPRID2
11855,MT-ND4.5,3.42E-05,-0.475222172,0.923,0.888,1,C-PEP.TAC1/CACNG5,MT-ND4
11856,AEBP2.3,3.89E-05,-0.371886828,0.354,0.347,1,C-PEP.TAC1/CACNG5,AEBP2
11857,MALAT1.5,5.73E-05,-0.350965404,0.175,0.199,1,C-PEP.TAC1/CACNG5,MALAT1
11858,LDHA.3,6.63E-05,0.268477027,0.193,0.178,1,C-PEP.TAC1/CACNG5,LDHA
11859,TXN.5,7.84E-05,-0.502031891,0.173,0.19,1,C-PEP.TAC1/CACNG5,TXN
11860,FAM193B.3,0.000152046,-0.332582102,0.336,0.331,1,C-PEP.TAC1/CACNG5,FAM193B
11861,IGSF9B.3,0.000160369,-0.278849997,0.247,0.246,1,C-PEP.TAC1/CACNG5,IGSF9B
11862,CENPT.3,0.000168051,-0.421769985,0.531,0.53,1,C-PEP.TAC1/CACNG5,CENPT
11863,PLEKHA5.4,0.000172674,-0.263296615,0.623,0.57,1,C-PEP.TAC1/CACNG5,PLEKHA5
11864,LTBP2.2,0.000223213,-0.321945177,0.243,0.244,1,C-PEP.TAC1/CACNG5,LTBP2
11865,GPC5.5,0.000224143,-0.365731109,0.511,0.506,1,C-PEP.TAC1/CACNG5,GPC5
11866,STXBP5L.5,0.000275486,-0.385932857,0.238,0.244,1,C-PEP.TAC1/CACNG5,STXBP5L
11867,HSF4.3,0.00027808,-0.372524896,0.345,0.298,1,C-PEP.TAC1/CACNG5,HSF4
11868,INTS11.4,0.000520858,-0.304297393,0.505,0.5,1,C-PEP.TAC1/CACNG5,INTS11
11869,SYT7.5,0.000771356,-0.321497366,0.784,0.741,1,C-PEP.TAC1/CACNG5,SYT7
11870,NRG3.3,0.000789554,-0.582144162,0.367,0.369,1,C-PEP.TAC1/CACNG5,NRG3
11871,PRKCD.4,0.002121207,-0.458293823,0.585,0.527,1,C-PEP.TAC1/CACNG5,PRKCD
11872,CDH1.5,0.00320869,-0.393587404,0.55,0.478,1,C-PEP.TAC1/CACNG5,CDH1
11873,PILRB.4,0.00322637,-0.624598403,0.306,0.295,1,C-PEP.TAC1/CACNG5,PILRB
11874,CNTNAP2.3,0.003365361,-0.406182049,0.656,0.601,1,C-PEP.TAC1/CACNG5,CNTNAP2
11875,KIFC2.5,0.003469039,-0.461317805,0.56,0.532,1,C-PEP.TAC1/CACNG5,KIFC2
11876,BBS9.4,0.004250967,-0.278261195,0.276,0.271,1,C-PEP.TAC1/CACNG5,BBS9
11877,SFRP1.5,0.00519372,-0.262582175,0.298,0.266,1,C-PEP.TAC1/CACNG5,SFRP1
11878,KLHL29.4,0.005612982,-0.252546296,0.377,0.365,1,C-PEP.TAC1/CACNG5,KLHL29
11879,MEG3.3,0.005765071,-0.614652145,0.141,0.153,1,C-PEP.TAC1/CACNG5,MEG3
11880,RSRP1.4,0.005965808,-0.373365155,0.428,0.379,1,C-PEP.TAC1/CACNG5,RSRP1
11881,SGCZ.6,0,2.549316109,0.516,0.207,0,A-PEP.KIT,SGCZ
11882,CDH18.7,0,2.339123946,0.687,0.308,0,A-PEP.KIT,CDH18
11883,OPCML.5,0,2.151543812,0.777,0.389,0,A-PEP.KIT,OPCML
11884,PCDH9.4,0,2.064619156,0.887,0.625,0,A-PEP.KIT,PCDH9
11885,KCNQ5.5,0,2.04878018,0.695,0.223,0,A-PEP.KIT,KCNQ5
11886,FGF12.6,0,1.871087129,0.83,0.651,0,A-PEP.KIT,FGF12
11887,PRKG1.5,0,1.860744064,0.893,0.69,0,A-PEP.KIT,PRKG1
11888,DPP6.1,0,1.848703593,0.919,0.754,0,A-PEP.KIT,DPP6
11889,PCSK6.6,0,1.81216979,0.766,0.339,0,A-PEP.KIT,PCSK6
11890,TAFA1.5,0,1.808262838,0.504,0.235,0,A-PEP.KIT,TAFA1
11891,CAMK1D.4,0,1.797270063,0.887,0.609,0,A-PEP.KIT,CAMK1D
11892,RYR2.6,0,1.715192786,0.672,0.439,0,A-PEP.KIT,RYR2
11893,KCTD8.6,0,1.676026961,0.772,0.58,0,A-PEP.KIT,KCTD8
11894,KIT.6,0,1.657881836,0.514,0.072,0,A-PEP.KIT,KIT
11895,CSMD1.6,0,1.592845239,0.536,0.297,0,A-PEP.KIT,CSMD1
11896,NRXN3.3,0,1.584359621,0.755,0.549,0,A-PEP.KIT,NRXN3
11897,SLC44A5.3,0,1.580805109,0.523,0.175,0,A-PEP.KIT,SLC44A5
11898,KCNIP4.4,0,1.543950323,0.275,0.096,0,A-PEP.KIT,KCNIP4
11899,CCSER1.4,0,1.471470475,0.447,0.163,0,A-PEP.KIT,CCSER1
11900,TMEM273.6,0,1.464903872,0.514,0.143,0,A-PEP.KIT,TMEM273
11901,PTGIR.7,0,1.448977922,0.746,0.296,0,A-PEP.KIT,PTGIR
11902,SCGN.5,0,1.43774979,0.599,0.133,0,A-PEP.KIT,SCGN
11903,KCNT2.4,0,1.425628283,0.538,0.12,0,A-PEP.KIT,KCNT2
11904,FRMD4A.6,0,1.410553768,0.763,0.471,0,A-PEP.KIT,FRMD4A
11905,FGF14.3,0,1.393241877,0.384,0.146,0,A-PEP.KIT,FGF14
11906,EPHA5.6,0,1.36343028,0.732,0.314,0,A-PEP.KIT,EPHA5
11907,IQCJ-SCHIP1,0,1.328402943,0.194,0.041,0,A-PEP.KIT,IQCJ-SCHIP1
11908,CNTN5.5,0,1.287005823,0.315,0.104,0,A-PEP.KIT,CNTN5
11909,PIEZO2.6,0,1.231161409,0.898,0.623,0,A-PEP.KIT,PIEZO2
11910,PILRB.5,0,1.228018963,0.51,0.277,0,A-PEP.KIT,PILRB
11911,ANK3.4,0,1.217847755,0.911,0.789,0,A-PEP.KIT,ANK3
11912,TMC3.1,0,1.212028451,0.529,0.047,0,A-PEP.KIT,TMC3
11913,ATRNL1.5,0,1.205247176,0.936,0.855,0,A-PEP.KIT,ATRNL1
11914,DOC2A.6,0,1.197543766,0.544,0.152,0,A-PEP.KIT,DOC2A
11915,PLEKHA5.5,0,1.191359258,0.78,0.557,0,A-PEP.KIT,PLEKHA5
11916,JMJD1C.4,0,1.181199883,0.618,0.349,0,A-PEP.KIT,JMJD1C
11917,NFIB.2,0,1.17409852,0.564,0.199,0,A-PEP.KIT,NFIB
11918,NAV3.5,0,1.155641598,0.44,0.218,0,A-PEP.KIT,NAV3
11919,TRPM8.5,0,1.153261605,0.527,0.157,0,A-PEP.KIT,TRPM8
11920,LINC02755,0,1.146300576,0.154,0.035,0,A-PEP.KIT,LINC02755
11921,ST8SIA1.5,0,1.138130107,0.759,0.416,0,A-PEP.KIT,ST8SIA1
11922,AC092691.1,0,1.135091568,0.132,0.023,0,A-PEP.KIT,AC092691.1
